asn,name,orig_prefix,orig_prefix_len,net24,target_ip,ptr,ping,score,reason
4780,SEEDNet,106.106.201.0/24,24,106.106.201.0/24,106.106.201.1,106.106.201.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.202.0/24,24,106.106.202.0/24,106.106.202.1,106.106.202.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.204.0/24,24,106.106.204.0/24,106.106.204.1,106.106.204.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.205.0/24,24,106.106.205.0/24,106.106.205.1,106.106.205.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.210.0/24,24,106.106.210.0/24,106.106.210.1,106.106.210.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.211.0/24,24,106.106.211.0/24,106.106.211.1,106.106.211.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.212.0/24,24,106.106.212.0/24,106.106.212.1,106.106.212.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.213.0/24,24,106.106.213.0/24,106.106.213.1,106.106.213.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.220.0/24,24,106.106.220.0/24,106.106.220.1,106.106.220.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.221.0/24,24,106.106.221.0/24,106.106.221.1,106.106.221.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.222.0/24,24,106.106.222.0/24,106.106.222.1,106.106.222.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.229.0/24,24,106.106.229.0/24,106.106.229.1,106.106.229.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
