asn,name,prefix,family,center_ip,geo_status,geo_message,country,region,city,lat,lon,isp,as,query
3462,HiNet,111.255.0.0/16,ipv4,111.255.128.0,success,,Taiwan,Tainan,Tainan City,22.9917,120.2148,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.255.128.0
3462,HiNet,114.24.0.0/14,ipv4,114.26.0.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.26.0.0
3462,HiNet,114.24.0.0/16,ipv4,114.24.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.24.128.0
3462,HiNet,114.25.0.0/16,ipv4,114.25.128.0,success,,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.25.128.0
3462,HiNet,114.26.0.0/16,ipv4,114.26.128.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.26.128.0
3462,HiNet,114.27.0.0/16,ipv4,114.27.128.0,success,,Taiwan,Pingtung,Pingtung City,22.6745,120.491,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.27.128.0
3462,HiNet,114.32.0.0/16,ipv4,114.32.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.32.128.0
3462,HiNet,114.32.0.0/12,ipv4,114.40.0.0,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.40.0.0
3462,HiNet,114.33.0.0/16,ipv4,114.33.128.0,success,,Taiwan,Tainan,Tainan City,22.9917,120.2148,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.33.128.0
3462,HiNet,114.34.0.0/16,ipv4,114.34.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.34.128.0
3462,HiNet,114.35.0.0/16,ipv4,114.35.128.0,success,,Taiwan,Tainan,Tainan City,22.9917,120.2148,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.35.128.0
3462,HiNet,114.36.0.0/16,ipv4,114.36.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.36.128.0
3462,HiNet,114.37.0.0/16,ipv4,114.37.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.37.128.0
3462,HiNet,114.38.0.0/16,ipv4,114.38.128.0,success,,Taiwan,Yunlin,Yunlin,23.7113,120.3897,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.38.128.0
3462,HiNet,114.39.0.0/16,ipv4,114.39.128.0,success,,Taiwan,Tainan,Tainan City,22.9917,120.2148,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.39.128.0
3462,HiNet,114.40.0.0/16,ipv4,114.40.128.0,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.40.128.0
3462,HiNet,114.41.0.0/16,ipv4,114.41.128.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.41.128.0
3462,HiNet,114.42.0.0/16,ipv4,114.42.128.0,success,,Taiwan,Nantou,Puli,23.9678,120.9644,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.42.128.0
3462,HiNet,114.43.0.0/16,ipv4,114.43.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.43.128.0
3462,HiNet,114.44.0.0/16,ipv4,114.44.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.44.128.0
3462,HiNet,114.45.0.0/16,ipv4,114.45.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.45.128.0
3462,HiNet,114.46.0.0/16,ipv4,114.46.128.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.46.128.0
3462,HiNet,114.47.0.0/16,ipv4,114.47.128.0,success,,Taiwan,Kinmen County,Jincheng,24.4279,118.3164,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,114.47.128.0
3462,HiNet,118.160.0.0/16,ipv4,118.160.128.0,success,,Taiwan,Hsinchu County,Zhubei,24.8351,121.0056,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.160.128.0
3462,HiNet,118.161.0.0/16,ipv4,118.161.128.0,success,,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.161.128.0
3462,HiNet,118.162.0.0/16,ipv4,118.162.128.0,success,,Taiwan,Taiwan,Neihu District,25.0689,121.591,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.162.128.0
3462,HiNet,118.163.0.0/16,ipv4,118.163.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.163.128.0
3462,HiNet,118.164.0.0/16,ipv4,118.164.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.164.128.0
3462,HiNet,118.165.0.0/16,ipv4,118.165.128.0,success,,Taiwan,Yilan County,Yilan,24.757,121.753,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.165.128.0
3462,HiNet,118.166.0.0/16,ipv4,118.166.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.166.128.0
3462,HiNet,118.167.0.0/16,ipv4,118.167.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.167.128.0
3462,HiNet,118.168.0.0/16,ipv4,118.168.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.168.128.0
3462,HiNet,118.169.0.0/16,ipv4,118.169.128.0,success,,Taiwan,Yilan County,Yilan,24.757,121.753,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.169.128.0
3462,HiNet,118.170.0.0/16,ipv4,118.170.128.0,success,,Taiwan,Yunlin,Yunlin,23.7113,120.3897,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.170.128.0
3462,HiNet,118.171.0.0/16,ipv4,118.171.128.0,success,,Taiwan,Tainan,Tainan City,22.9917,120.2148,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,118.171.128.0
